Article,Score,Category,Category Description
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
test1,0,No Effect,No Effect Des
